subsample,system,gt_theta_E_arcsec,gt_convention,gt_source,status_notes
COSMOS-cand,COSMOS 0047+5023,1.41,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 0049+5128,2.09,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 0050+4901,1.69,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 0056+1226,1.64,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 0124+5121,0.86,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 0211+1139,3.14,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 0216+2955,1.75,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 0227+0451,2.64,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 5857+5949,2.28,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 5914+1219,1.65,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 5921+0638,0.70,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 5941+3628,1.17,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
COSMOS-cand,COSMOS 5947+4752,1.97,SIE + shear (Lenstool),Faure et al. 2008 Table 4 (erratum values via VizieR J/ApJS/176/19),TODO: keep only the 5 spectroscopically confirmed (LEMON criterion)
ACS-todo,Pawase 2014 Table 3 spec-confirmed subset (13),,ARC RADIUS ONLY - no theta_E exists,Pawase et al. 2014 (MNRAS 439 3392) Table 3,TODO: extract Table 3 + spec-confirmation flags (not on VizieR); dual-report or exclude in eval
SLACS-note,"29 of Bolton 63 grade-A, identity UNRESOLVED",,b_SIE (Bolton Table 5),tables/bolton08_table5.csv,"H1 Ring=32, H2 Ring+sigma=31, H3 (Auger phot) RULED OUT (all 31 have I-band); routes: email reply / Fig9 digitization; meanwhile use 62-superset"
