#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-13T07:40:48 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-13T07:40:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/682/964/table4&-out.max=999&-out=Name,zFG,zBG,sigma,e_sigma,Lens	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_16820964
#Name: J/ApJ/682/964
#Title: Sloan lens ACS survey. V. (Bolton+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/apj/682/964	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/682/964	    IVOID of underlying data collection
#INFO	creator=Bolton A.S.	    First author or institution
#INFO	cites=bibcode:2008ApJ...682..964B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/682/964	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.16820964	    Dataset identifier that can be used for citation
#INFO	publication_date=2009-11-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_682_964_table4:
#Name: J/ApJ/682/964/table4
#Title: SLACS HST-ACS target observational data
#Column	Name	(a10)	System name (JHHMM-DDMM), as in table5	[ucd=meta.id]
#Column	zFG	(F7.4)	Foreground galaxy redshift (directly from SDSS database)	[ucd=src.redshift]
#Column	zBG	(F7.4)	Background galaxy redshift (measured as described in Bolton et al. 2004AJ....127.1860B)	[ucd=src.redshift]
#Column	sigma	(I3)	? Velocity dispersion, uncorrected for aperture effects	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I2)	? rms uncertainty on sigma (7)	[ucd=stat.error]
#Column	Lens	(A1)	[AXB] Lens status code (10)	[ucd=meta.code]
Name	zFG	zBG	sigma	e_sigma	Lens
J1106+5228	 0.0955	 0.4069	262	13	A
J1108+0252	 0.1368	 0.3105	178	14	B
J1112+0826	 0.2730	 0.6295	320	20	A
J1117+0534	 0.2285	 0.8230	277	19	B
J1134+6027	 0.1528	 0.4742	239	12	A
J1136+0426	 0.1282	 0.5341	258	14	X
J1140+5640	 0.0674	 0.2968	163	 9	X
J1142+1001	 0.2218	 0.5039	221	22	A
J1143-0144	 0.1060	 0.4019	269	13	A
J1152+0054	 0.1062	 0.1590	235	14	X
J1153+4612	 0.1797	 0.8751	226	15	A
J1155+6237	 0.3751	 0.6690	   	  	X
J1159+5447	 0.0818	 0.2695	231	12	X
J1203+0233	 0.1644	 0.4380	209	11	X
J1204+0358	 0.1644	 0.6307	267	17	A
J1205+4910	 0.2150	 0.4808	281	14	A
J1211+4550	 0.1110	 0.3170	231	12	X
J1213+6708	 0.1229	 0.6402	292	15	A
J1218+0830	 0.1350	 0.7172	219	11	A
J1244+0111	 0.0725	 0.5600	172	 9	X
J1250+0523	 0.2318	 0.7953	252	14	A
J1250-0135	 0.0871	 0.3526	246	12	A
J1251-0208	 0.2243	 0.7843	   	  	A
J1259+6134	 0.2334	 0.4488	253	16	A
J1313+0506	 0.1438	 0.3385	221	17	B
J1330-0148	 0.0808	 0.7115	185	 9	B
J1343+6027	 0.1198	 0.3199	178	10	X
J1343+6052	 0.0343	 0.0880	206	10	X
J1402+6321	 0.2046	 0.4814	267	17	A
J1403+0006	 0.1888	 0.4730	213	17	A
J1416+5136	 0.2987	 0.8111	240	25	A
J1420+6019	 0.0629	 0.5351	205	10	A
J1430+4105	 0.2850	 0.5753	322	32	A
J1430+5115	 0.1337	 0.4503	206	10	X
J1432+6317	 0.1230	 0.6643	199	10	A
J1436+4939	 0.1225	 0.3145	212	12	X
J1436-0000	 0.2852	 0.8049	224	17	A
J1443+0304	 0.1338	 0.4187	209	11	A
J1448-0116	 0.1474	 0.7807	187	10	X
J1451-0239	 0.1254	 0.5203	223	14	A
J1452-0058	 0.1770	 0.5131	193	11	X
J1515+6128	 0.2421	 0.3800	212	25	X
J1520-0034	 0.1140	 0.3954	196	16	X
J1524-0052	 0.1524	 0.7323	150	22	X
J1525+3327	 0.3583	 0.7173	264	26	A
J1525+0114	 0.1294	 0.6269	158	10	X
J1531-0105	 0.1596	 0.7439	279	14	A
J1535-0038	 0.1613	 0.6585	254	15	X
J1537+4125	 0.1423	 0.6811	204	14	X
J1538+5817	 0.1428	 0.5312	189	12	A
J1541+4130	 0.1423	 0.5033	215	11	X
J1547+5720	 0.1883	 0.3958	254	13	X
J1550+5258	 0.0491	 0.7396	202	10	B
J1604+3355	 0.0786	 0.3500	228	11	B
J1614+4522	 0.1779	 0.8113	182	13	B
J1618+4353	 0.1989	 0.6657	   	  	A
J1621+3931	 0.2449	 0.6021	236	20	A
J1627-0053	 0.2076	 0.5241	290	15	A
J1630+4520	 0.2479	 0.7933	276	16	A
J1633-0012	 0.0702	 0.2060	215	11	X
J1636+4707	 0.2282	 0.6745	231	15	A
J1700+6221	 0.1228	 0.3584	192	10	X
J1702+3320	 0.1785	 0.4357	256	14	B
J1706+3304	 0.1682	 0.7736	225	12	B
J1717+5739	 0.1144	 0.5748	227	11	X
J1718+6424	 0.0899	 0.7366	   	  	A
J2111-0038	 0.1933	 0.4761	   	  	B
J2119-0742	 0.1704	 0.5262	207	17	B
J2121+1203	 0.1434	 0.4862	194	12	B
J2141-0001	 0.1380	 0.7127	181	14	A
J2202-0846	 0.1613	 0.5011	231	12	X
J2209-0754	 0.1112	 0.2148	229	16	X
J2225+1259	 0.3103	 0.6571	248	24	X
J2238-0754	 0.1371	 0.7126	198	11	A
J2241+1228	 0.0998	 0.7173	176	13	X
J2300+0022	 0.2285	 0.4635	279	17	A
J2302-0840	 0.0901	 0.2224	237	12	A
J2303+1422	 0.1553	 0.5170	255	16	A
J2321-0939	 0.0819	 0.5324	249	12	A
J2341+0000	 0.1860	 0.8070	207	13	A
J2347-0005	 0.4169	 0.7145	   	  	B

